"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas4","betas5","tau5","gammas6","outcome_model6","n16","n27","sig18","sig28","sig_y8","basemu8","shift9","alphas9","betas9","tau9","gammas10","outcome_model10","n111","n211","sig111","sig212","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"1","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.746083848383513,1.0346717873608,0.742195568226381,1.12520841910985,1.13806365734081,1.05423716123511,0.744078379973804,1.0420705593455
"2","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.09888356907232,1.12669623999366,1.07544488534474,1.17817102146738,0.985859801288232,1.05010258678581,1.07928112118211,1.0419862706261
"3","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.825333155709248,0.894693280293372,1.00259917851731,1.09928744958231,1.09528193740661,1.01508668929307,1.02744638081266,0.950753774940334
"4","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.01286868926084,1.08363055396176,1.04609958419132,1.20578738952022,1.18370055679921,1.0742700641138,1.03811966944554,1.14785585540556
"5","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.852318643373801,0.956606505236108,0.883624135591677,1.09660314910192,0.978706710191373,1.03108933979031,0.889716393710136,1.02402450485821
"6","200","2000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.06954801323706,0.954188179448039,1.23404944185516,1.09321086950489,1.11199683442496,1.06373844337624,1.23806904441034,0.977131791755157
"7","200","2000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.06980395694524,1.07253856922763,1.17985183169671,1.20254949259343,1.20032484908712,1.15915423807093,1.19615705489567,1.06550424862209
"8","200","2000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.572562861549429,0.790973569188183,0.853905876859544,1.0875805990299,0.978184102445207,0.962678390146546,0.853211138776192,0.940514666116682
"9","200","2000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.00477577559157,1.02825395510809,1.12814895805848,1.04666549037815,0.971441691281246,0.87102514670899,1.12732960397721,0.871808729572729
"10","200","2000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.13377679419818,1.06965099241242,1.383434271432,1.09845945146236,1.0890647577246,0.991714844293703,1.37785511343139,1.01784097197872
