"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","sig_u4","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas5","betas5","tau6","gammas6","sig_u6","outcome_model7","n18","n28","sig18","sig28","sig_y9","basemu9","shift9","alphas9","betas10","tau10","gammas11","sig_u11","outcome_model11","n112","n213","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"1","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.194337161767754,0.135017188157351,0.183186353251474,0.115002605413266,0.13051729966541,0.114250643392975,0.185254846672054,0.11411799491465
"2","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0108873439973001,0.149895637115365,0.028789126740425,0.126366355426693,0.114987509117141,0.125227479819884,0.0191320502113647,0.124247338059896
"3","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.178787870294026,0.118265301190661,0.181765683492231,0.115656652979147,0.114203252319098,0.113780701248686,0.181976215071196,0.114912058066607
"4","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.125566196284744,0.100483658162724,0.121376040443696,0.0929240299275954,0.0976059260944616,0.0917686105741233,0.120891554417144,0.0939885323699848
"5","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.107502181986984,0.101533279468571,0.107688209018644,0.101018863144145,0.101987375877022,0.100897387712423,0.108732716433825,0.0980172643943193
"6","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.148933531142112,0.0849025480350775,0.15308259230155,0.0992924165354887,0.102724030320735,0.0987251047072734,0.147148888826136,0.0991089327652587
"7","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.145031670887565,0.107107310783566,0.160969066338629,0.11684002615354,0.120143502446727,0.116182097952903,0.162220237499187,0.117583950591516
"8","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0835270450668588,0.104284031203116,0.0825604325622256,0.107994586873069,0.109123174825378,0.105918673741268,0.082609774068505,0.105168501691667
"9","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0463155673476643,0.0917236215279288,0.0505460206985409,0.0990795880820712,0.0909595055384146,0.0958246270398768,0.0476596710363749,0.0957278978346612
"10","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0594010224754501,0.0850721973482772,0.068726413049131,0.0919256690974969,0.0960942336198945,0.091866819507247,0.0661298938676938,0.0870016206667548
"11","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.111897029134167,0.1007041441949,0.108987340770143,0.095109572571505,0.0987988621765118,0.0923457970636196,0.1086505386662,0.0925003961627524
"12","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.15138882591847,0.114163438227042,0.150437863068027,0.108970643773671,0.113766589208576,0.10813542966696,0.151837986758297,0.10787652895976
"13","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0632670759977407,0.101953490178828,0.0690902684890725,0.106350787843558,0.0964079760109343,0.104781248909815,0.069338346757513,0.105277236993482
"14","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0863636525983756,0.0932460526265282,0.0932681032841016,0.0992475873657394,0.096647912819034,0.0975067211938331,0.0936019370399183,0.0988647810441805
"15","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0342613759535882,0.0800637197803329,0.034713652422822,0.0869022047538999,0.0841513929661904,0.0846041945022641,0.0342492557098289,0.0907060036302277
"16","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0777077269294806,0.110806420749646,0.0845969143644595,0.12449655123805,0.121579066472702,0.124452781713642,0.085666504601465,0.121667282757088
"17","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0684343094341956,0.104126491785753,0.0774322081261118,0.1119424842103,0.107643508603855,0.110152185016469,0.0802585842915971,0.108788080182838
"18","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.105979626812984,0.133204269362271,0.110608823235597,0.140039584956573,0.134946653830215,0.138875379688919,0.111269349712976,0.13677208779116
"19","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0396379859315519,0.0888420252795107,0.0460129381656015,0.100641722988177,0.0895161772177419,0.0996622684412009,0.0464450803462524,0.0992613629494143
"20","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.116466978707102,0.111030343738316,0.116326750811789,0.118909485607719,0.118747298779257,0.119025591691159,0.117246800939021,0.117100484325655
"21","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.132638266165612,0.110365867525598,0.13403016202996,0.108728661016259,0.108215107366872,0.108740769517971,0.134239645265435,0.107682088417949
