"","n","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc"
"1","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.10229066905463,1.03452261886656,0.921041839101993,1.00552333774911,1.08100829293891,0.85003949226657,0.921080398505423,1.01078493216994,0.0170131326334003,0.00546709994473137,0.0020242730983666,0.00193867698054751,0.0039221513095572,0.00337532712954378
"2","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.03133947340854,1.09480482563746,0.905356673789297,0.814835306705234,0.992279097648972,0.785103211978298,0.904496813721505,1.01433662196697,0.0167698429998539,0.00815478435443616,0.00185649061742325,0.0018409418504492,0.00498290493235561,0.00451954334022788
"3","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.745019097513954,0.864101855185618,0.862728665052681,0.727270650569432,0.881691089440846,0.708454539351761,0.863169329396673,0.984419996441619,0.0198115907457924,0.00680634611312847,0.00228499982793176,0.0019106243839062,0.00731892205564122,0.00390090958172639
"4","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.960083854538773,1.02733650304452,0.949354910174048,0.819168358531169,1.09021790583662,0.90523781655641,0.949245121683098,1.06408083809867,0.0176784238600308,0.00957592081755784,0.00200485634364358,0.0022343581541973,0.00375448083530328,0.00317016303546935
"5","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.01879352560856,0.925783756972425,0.865889353831114,1.00660648981021,0.948925074302336,0.773856550531929,0.866393877833275,0.9874089227813,0.0171225387601742,0.0099444486861542,0.00246574961035209,0.00207593507728839,0.00892331800329969,0.00338710167106228
"6","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.00997965086034,0.939229346662252,0.905520067150029,1.02484923723948,0.940747931587965,0.837192242583476,0.905487904138158,0.974258147838276,0.0147973741566488,0.00674715470926508,0.00194451937322713,0.00187171936393054,0.00404688049314434,0.0030417778533556
"7","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.16764078514393,1.07524186209738,0.937606095358168,1.06307841638766,1.02873551333535,0.888146550808363,0.93757427483968,1.07693196208486,0.0152226865150453,0.00563345630392475,0.00184247025679348,0.00188629903114551,0.00441524050274581,0.00314769158186417
"8","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.13838909200919,1.09950483490189,0.916089966680992,0.983482790801843,1.10650693636296,0.848255141322606,0.91564560337628,0.994539455291873,0.0155023324932626,0.00899017035437697,0.00238980726078445,0.00217290890115276,0.00918221302185726,0.00398881255337945
"9","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.01205628983218,1.01388393340465,0.866666740759782,0.887455077565933,1.05510102261362,0.780865357686888,0.866846342811393,0.992965579955452,0.0169332213017504,0.00634687937752804,0.00278519880451032,0.00202724126620587,0.00676723810120503,0.00524530633698289
"10","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.983552169473537,0.965192242406283,0.816166917306057,0.83464401980123,0.960364604222937,0.76879025457689,0.816329644967985,0.979518815520345,0.0159158935886071,0.00704465533987528,0.00195511790445801,0.00202500944148716,0.00584835179781065,0.00344517913850603
"11","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.07329511902057,1.01998296701293,0.845973717511344,0.898316389688333,0.980320079553221,0.755880888399762,0.84574441926234,0.975915581588873,0.0193250396397648,0.0071244686053967,0.00260277813013502,0.00221530795552067,0.00559159429905253,0.00472744153518525
"12","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.986817086381591,0.992461042408071,0.844848158036097,0.831353561817313,1.01263169144194,0.815054383464209,0.845165020404892,0.998133270107206,0.0143037326852795,0.00790507460446966,0.0030886156874563,0.00209910490505996,0.00441568279293893,0.0038868913954577
"13","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.04527604492384,0.993121966214907,0.893371278447179,0.964399120584156,0.958587134854689,0.823704567196886,0.893608244411029,0.979550137214756,0.0165112329301423,0.00663384125348687,0.00225552460065675,0.00190640381355072,0.00518762967927237,0.00425431246926227
"14","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",1.09578837625069,1.09483180010135,0.899372638826846,0.900039937874006,1.02933139737735,0.84018142931189,0.899356536911205,1.00363950386256,0.0191999287548802,0.00763104209509385,0.00192626387966144,0.00187389769349095,0.00471313502315252,0.00556937374297992
"15","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.942873476940267,1.00449395548574,0.897790278796629,0.813173429918044,1.05100858497268,0.836081422756207,0.89767556064899,1.04338164717791,0.0161115723856795,0.0066047617919114,0.00213718142836448,0.00197968568849301,0.00716890303008712,0.00374443505488597
"16","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.758141080211589,0.927131158452147,0.799575869858924,0.661052637468663,0.907235304723121,0.768207915944108,0.799510795272447,0.992475541709432,0.0269594418386186,0.00143584862558072,0.00235675017298045,0.00203372265084176,0.00281320315816611,0.00255448749223127
"17","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.872033764732553,0.924265202207928,0.887300977119905,0.833581777971337,0.929444867323161,0.83455093881075,0.88742817581208,1.00862516754631,0.0205930630168493,0.00675985090469795,0.0022062955000877,0.00215018439807109,0.00461957581837097,0.0029168745329626
