"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc"
"1","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.957883281857916,0.932434906143211,0.653446624715278,0.714947206134155,1.06483357157339,1,0.65375186538749,0.995550882067476,0.96319941669537,0.015801317599332,0.0123812850122813,0.00228866709641645,0.00182865361825225,0.00931539689426047,1
"2","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.710321415067678,0.918322446427114,0.735396876988787,0.460531041647742,0.935817357552957,1,0.735335850642847,0.986484177705987,0.879682119064957,0.0187711120671268,0.0109092678254437,0.00273636797098021,0.00171053664256001,0.0119616604610544,1
"3","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.12545500263693,1.07473940962804,0.741943714201504,0.797626480719528,1.08193416605605,1,0.742042220558201,1.04526219655274,1.07575485544692,0.0180849823997251,0.0079345960031563,0.00264628124012067,0.00179970260892288,0.00299997404386623,1
"4","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.842880382272577,0.996132816434067,0.761188439256283,0.55232109203893,1.01007816055558,1,0.761197003824946,0.971759578577338,0.935418251562434,0.0163806800073613,0.00847288489905365,0.00182602289416806,0.00172811025303316,0.00719486629835937,1
"5","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.03496237040666,1.12353226767687,0.662396368228019,0.516438878674412,1.08391363077767,1,0.662253637379529,1.04319330016394,1.09937180103197,0.0172238384339126,0.0104950486535089,0.0018965625745996,0.00177110441204976,0.00441786012274544,1
"6","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.760001920703281,0.775479641284467,0.65737552016755,0.637414963307629,0.769380207784075,1,0.656813477232149,0.940180980098059,0.84155162817062,0.0187708325082111,0.00994065898011978,0.00232670873664219,0.00179800733713191,0.00337804005070863,1
"7","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.991167300317021,0.885122951016471,0.710823721310277,0.759741984110926,1.14293287815174,1,0.710597185530938,1.0202523965298,1.05443585453666,0.0423171978696803,0.0447282026239752,0.00209231741328207,0.00177873585755528,0.00644357248649635,1
"8","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.967788769513638,1.013978887009,0.766160570520975,0.687470537061381,1.12984664085001,1,0.766309765633967,0.995775076675933,1.03290224414338,0.0192172147177514,0.0130577325853085,0.00214558515345386,0.00175733071803921,0.00458778518061133,1
"9","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.920434393525328,0.991718418564195,0.682455653501475,0.573001427252141,1.04709713662611,1,0.682285655345848,0.998065287147791,0.940756028908868,0.0180818745063399,0.0119280546965366,0.00211641541107013,0.00181409629938111,0.00585546632751415,1
"10","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.31055633960147,1.37566800916491,0.679146475029246,0.423046650333644,1.23646035335874,1,0.679142278651676,1.00577279078811,1.2093598369691,0.0884018345999677,0.0333822410058207,0.00358680466953123,0.00176181094268794,0.00655559478235163,1
"11","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.01675982344447,1.03380862452952,0.611891952142079,0.577684932310865,1.06284885844234,1,0.61188497101952,0.952936938610707,1.04499509375948,0.013977847437984,0.00972356245140116,0.00190767644380075,0.00176594714081566,0.0046146328101681,1
"12","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.803400198089388,0.957298169546793,0.683161826871826,0.497483746353148,1.04493960039692,1,0.683180550488265,0.999700893571408,0.908246635191132,0.0252400366022466,0.0140000776439407,0.00224145489710472,0.00179688165425407,0.0102185189633587,1
"13","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.480088664726122,0.736184127797305,0.71111620173939,0.384226964529035,0.893150147950135,1,0.710271437170953,0.984369726814181,0.733928938311808,0.0221899004614518,0.0119234683552153,0.00203973202124335,0.00178541198529274,0.00927974795701974,1
"14","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.12923245956335,1.04904468660925,0.746335047530062,0.886632346928643,1.21580335521849,1,0.746465208992193,1.05757564259369,1.09067343491442,0.0265947229143397,0.0159320528544782,0.00198414883675794,0.00173814725128776,0.00821248644124418,1
"15","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.802120628452588,0.890955319633354,0.6837716060721,0.506033420236865,0.94840734541518,1,0.683834129516752,0.983115469495841,0.868070855830302,0.0165099651735519,0.012483809057689,0.0028000105876278,0.00180032485027162,0.00477219275884383,1
"16","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.884670171964167,0.874194529923964,0.670526942422285,0.691386568525624,0.833953118621486,1,0.670467943494763,0.990321148140835,0.846328068626253,0.0207628664491565,0.0138899901661924,0.00214723809015356,0.00184882433582554,0.014798330218799,1
"17","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",0.782034468989923,0.766803372620267,0.711858598486554,0.716027535663067,0.786888888380124,1,0.711666973831189,0.95685656942624,0.786179330947966,0.0190255936469401,0.00880029724850542,0.00258065856596397,0.00171391309004356,0.0071797462314263,1
"18","3000","0.1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal","FALSE",1.04425453446081,1.04040652155227,0.7642180677939,0.774787969568955,1.04190960361175,1,0.764087145965216,1.03209924309792,1.04721939452095,0.0214501041322389,0.0129551047983257,0.00217732468220861,0.0018667939019441,0.0101494301655203,1
